Segment_ID,Is_Weekend,Daylight,Season1,Season2,Season4,Hr3,Hr6,Hr9,Hr12,Hr15,Hr18,Hr21,Hr24,Traffic_Volume,StreetWidth,UnitsRes_Prop,NumFloors,SubwayProximity,BoroCode1,BoroCode2,BoroCode3,BoroCode4,BoroCode5,LandUse_t1,LandUse_t2,LandUse_t3,LandUse_t4,LandUse_t5
132595,0,0.0125798042737849,0,0,1,1,0,0,0,0,0,0,0,165.8,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,0,0.1906989297982189,0,0,1,0,1,0,0,0,0,0,0,109.4,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,0,0.7259384110392336,0,0,1,0,0,1,0,0,0,0,0,328.87,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,0,1.0,0,0,1,0,0,0,1,0,0,0,0,374.4,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,0,0.7259384110392336,0,0,1,0,0,0,0,1,0,0,0,397.87,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,0,0.1906989297982189,0,0,1,0,0,0,0,0,1,0,0,432.4,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,0,0.0125798042737849,0,0,1,0,0,0,0,0,0,1,0,421.6,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,0,0.0002467891519724,0,0,1,0,0,0,0,0,0,0,1,331.47,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,0.0125798042737849,0,0,1,1,0,0,0,0,0,0,0,301.12,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,0.1906989297982189,0,0,1,0,1,0,0,0,0,0,0,190.79,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,0.7259384110392336,0,0,1,0,0,1,0,0,0,0,0,221.96,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,1.0,0,0,1,0,0,0,1,0,0,0,0,369.92,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,0.7259384110392336,0,0,1,0,0,0,0,1,0,0,0,456.88,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,0.1906989297982189,0,0,1,0,0,0,0,0,1,0,0,464.04,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,0.0125798042737849,0,0,1,0,0,0,0,0,0,1,0,449.04,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
132595,1,0.0002467891519724,0,0,1,0,0,0,0,0,0,0,1,362.38,1.0722447906165955,0.8264205682272909,2.37117903930131,0.0510875792878001,0.0,1.0,0.0,0.0,0.0,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938
81384,0,0.0125798042737849,0,0,1,1,0,0,0,0,0,0,0,100.0,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,0,0.1906989297982189,0,0,1,0,1,0,0,0,0,0,0,130.13,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,0,0.7259384110392336,0,0,1,0,0,1,0,0,0,0,0,646.2,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,0,1.0,0,0,1,0,0,0,1,0,0,0,0,530.27,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,0,0.7259384110392336,0,0,1,0,0,0,0,1,0,0,0,579.73,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,0,0.1906989297982189,0,0,1,0,0,0,0,0,1,0,0,760.6,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,0,0.0125798042737849,0,0,1,0,0,0,0,0,0,1,0,551.33,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,0,0.0002467891519724,0,0,1,0,0,0,0,0,0,0,1,291.33,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,1,0.0125798042737849,0,0,1,1,0,0,0,0,0,0,0,147.0,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,1,0.1906989297982189,0,0,1,0,1,0,0,0,0,0,0,96.42,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,1,0.7259384110392336,0,0,1,0,0,1,0,0,0,0,0,200.33,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,1,1.0,0,0,1,0,0,0,1,0,0,0,0,370.5,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
81384,1,0.7259384110392336,0,0,1,0,0,0,0,1,0,0,0,498.75,0.9184442512272568,0.7123209659730233,3.875,0.0512156290970051,0.0,1.0,0.0,0.0,0.0,0.59375,0.125,0.125,0.03125,0.125
